7,8262
7,321423
7,157859
7,255110
7,161851
7,231661
7,211716
7,319428
7,221692
7,223700
31,453402
30,91536
29,635262
29,994794
30,406694
30,434616
31,700776
33,738817
31,762102
31,856329
70,681001
66,955514
67,282089
66,728077
66,632826
66,971919
66,947983
67,42242
67,543914
67,689999
120,131771
119,632196
120,48992
120,275958
119,466035
120,351691
120,912191
120,218048
119,534874
120,583576
187,166536
187,448277
187,682162
187,175073
188,57161
187,468222
187,676664
186,818498
186,977537
186,615977
268,877014
268,427253
275,184686
269,977595
269,958157
264,278280
259,768464
258,662008
256,482193
260,447583
356,945552
356,219002
357,584325
354,347045
351,902610
353,604993
362,898708
356,640378
339,272811
339,264901
431,392096
424,270077
424,442130
425,393612
424,21013
421,372842
420,609529
420,998437
420,16060
418,587846
529,157574
530,176395
529,711690
530,757890
529,995582
529,682286
530,7403
529,744096
530,641633
530,146984
655,147527
653,804493
653,701823
654,725458
654,846584
653,643310
654,245306
653,444386
653,37878
654,804256
