2,757658
2,736682
2,711747
2,699780
2,664874
2,725712
2,704280
2,708755
2,703772
2,717733
10,731306
10,938751
10,830041
10,894835
11,904678
11,579037
11,141209
11,20567
11,260886
11,95836
24,582267
25,74951
25,449948
25,389110
25,791578
26,929024
27,777754
26,105163
26,346551
26,460805
45,799498
44,39239
44,94602
43,542568
43,952979
44,51239
43,760984
43,961414
43,643298
44,79133
68,559186
68,610557
69,340060
69,2489
68,925695
68,985624
69,48368
68,776095
69,613429
69,175027
99,811614
100,130762
100,78899
99,866958
99,409688
99,718862
100,37514
100,27037
99,904364
99,381258
135,513661
136,90621
135,959025
135,647792
135,577978
135,694159
135,389477
135,795395
134,458445
135,545065
177,113912
176,672595
176,167477
176,671603
174,670443
181,405940
176,301573
176,380380
177,502871
172,403378
213,773488
213,620999
213,426385
211,442627
214,560775
214,689906
216,84705
214,76579
216,108186
215,151196
264,607973
265,279799
260,251109
263,771696
271,213835
271,691627
263,566742
256,772417
256,306729
258,351685
